group,team,qualify_prob,group_winner_prob,avg_points
A,Mexico,96.43,64.58,6.4635
A,South Africa,32.1,3.18,1.9883
A,South Korea,76.02,20.06,4.3275
A,Czechia,65.60000000000001,12.18,3.6284
B,Canada,96.93,61.09,6.6294
B,Bosnia and Herzegovina,38.940000000000005,2.81,2.3007
B,Qatar,34.39,2.77,2.097
B,Switzerland,91.72,33.33,5.5539
C,Brazil,94.8,57.56,6.4738
C,Haiti,22.66,1.69,1.6058
C,Morocco,86.82,29.81,5.2186
C,Scotland,61.61,10.94,3.5046
D,Australia,78.0,35.22,4.842
D,Paraguay,60.97,18.5,3.6087
D,Turkey,68.56,23.51,4.0769
D,United States,67.93,22.770000000000003,4.0552
E,Curaçao,15.939999999999998,0.59,1.1931
E,Ecuador,94.69999999999999,44.1,6.0969
E,Germany,97.22,50.5,6.4592
E,Ivory Coast,55.7,4.81,2.9974
F,Japan,93.26,51.129999999999995,6.0875
F,Netherlands,90.82000000000001,40.69,5.6905
F,Sweden,40.98,3.7199999999999998,2.3529
F,Tunisia,41.23,4.46,2.4487
G,Belgium,89.2,44.09,5.383
G,Egypt,47.74,9.68,2.8509
G,Iran,85.22,37.5,5.107
G,New Zealand,47.93,8.73,2.815
H,Cape Verde,31.59,1.37,1.9188
H,Saudi Arabia,40.11,2.37,2.313
H,Spain,99.21,74.22999999999999,7.3174
H,Uruguay,88.92,22.03,5.1832
I,France,96.25,65.60000000000001,6.6868
I,Iraq,30.3,2.94,1.9338
I,Norway,82.19,23.28,4.7615
I,Senegal,58.43000000000001,8.18,3.2512
J,Algeria,63.9,10.5,3.5084
J,Argentina,97.35000000000001,72.64,6.7361
J,Austria,66.43,12.049999999999999,3.6985
J,Jordan,38.24,4.81,2.3141
K,Colombia,92.45,45.59,5.9237
K,DR Congo,25.35,2.18,1.6967
K,Portugal,91.79,42.78,5.8394
K,Uzbekistan,58.599999999999994,9.45,3.2563
L,Croatia,91.85,31.7,5.577
L,England,96.78,61.150000000000006,6.7357
L,Ghana,19.02,0.9900000000000001,1.3808
L,Panama,57.82000000000001,6.16,3.1052
